Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
MCI,0.0027975529097624494,0.28414442700156983,0.02511773940345369,0.2363996343190531,0.32,22.85082872928177,1.0,0.5,0.5,0.5,1.0,0.25,3.75,MCI,Kansas City International Airport,Missouri,39.29761,-94.71389
MCO,0.010285508500256918,0.43509820666097354,0.035439795046968404,0.1994464288209258,0.3010752688172043,38.933267909715404,0.5,0.25,1.0,0.5,0.5,0.5,3.25,MCO,Orlando International Airport,Florida,28.42939,-81.309
MIA,0.0012692194519958366,0.3737024221453287,0.03460207612456748,0.17501802388394425,0.07692307692307693,32.19444444444444,0.5,0.25,1.0,1.0,1.0,0.0,3.75,MIA,Miami International Airport,Florida,25.79536,-80.29012
MKE,0.0015151581693375903,0.33043478260869563,0.03768115942028986,0.12285200772032426,0.23076923076923078,32.271929824561404,0.5,0.25,1.0,1.0,1.0,0.0,3.75,MKE,General Mitchell International Airport,Wisconsin,42.94693,-87.89706
MSP,0.00375495720227142,0.4128654970760234,0.022222222222222223,0.3710870828626306,0.42857142857142855,35.62889518413598,0.5,0.5,0.25,0.5,1.0,0.25,3.0,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minnesota,44.88197,-93.22178
MSY,0.0017962309891567376,0.4156479217603912,0.022004889975550123,0.27015215740199555,0.42857142857142855,33.81764705882353,0.5,0.5,0.5,0.5,1.0,0.25,3.25,MSY,Louis Armstrong New Orleans International Airport,Louisiana,29.99328,-90.25903
OAK,0.0036671219460779362,0.2958083832335329,0.02874251497005988,0.23859942562094372,0.32,22.757085020242915,1.0,0.5,0.5,0.5,1.0,0.25,3.75,OAK,Metro Oakland International Airport,California,37.72125,-122.22114
OGG,0.012806380353009895,0.5006858710562414,0.02263374485596708,0.22415094487435944,0.43103448275862066,39.75205479452055,0.25,0.5,0.5,0.5,0.5,0.5,2.75,OGG,Kahului Airport,Hawaii,20.89865,-156.43046
OKC,0.0015239416949569388,0.3659942363112392,0.023054755043227664,0.11281776023488117,0.23076923076923078,25.984251968503937,0.5,0.5,1.0,1.0,1.0,0.0,4.0,OKC,Will Rogers World Airport,Oklahoma,35.39307,-97.60076
OMA,0.001554684034624658,0.3502824858757062,0.025423728813559324,0.20264102705954828,0.5384615384615384,26.95967741935484,0.5,0.5,1.0,0.25,1.0,0.0,3.25,OMA,Eppley Airfield,Nebraska,41.30317,-95.89406
